timestamp,length,protocol,src_ip,dst_ip,ttl,ip_flags,ip_id,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,tcp_window,arp_src_mac,arp_dst_mac,arp_opcode
2025-11-28T22:52:47.844916,54,TCP,10.0.2.15,13.107.213.43,64,0x02,0x6581,34264,443,0x0010,1,1,63860,,,
2025-11-28T22:52:47.847764,54,TCP,10.0.2.15,150.171.73.16,64,0x02,0x26d0,46122,443,0x0010,1,1,65535,,,
2025-11-28T22:52:47.851245,54,TCP,10.0.2.15,13.107.213.43,64,0x02,0xae6f,59788,443,0x0010,1,1,65535,,,
2025-11-28T22:52:47.854118,60,TCP,13.107.213.43,10.0.2.15,64,0x00,0x463e,443,34264,0x0010,1,2,65535,,,
2025-11-28T22:52:47.856582,60,TCP,150.171.73.16,10.0.2.15,64,0x00,0x463f,443,46122,0x0010,1,2,65535,,,
2025-11-28T22:52:47.859401,60,TCP,13.107.213.43,10.0.2.15,64,0x00,0x4640,443,59788,0x0010,1,2,65535,,,
2025-11-28T22:52:51.627995,54,TCP,10.0.2.15,20.189.173.23,64,0x02,0xe0cd,47292,443,0x0010,1,1,65535,,,
2025-11-28T22:52:51.632274,60,TCP,20.189.173.23,10.0.2.15,64,0x00,0x4641,443,47292,0x0010,1,2,65535,,,
2025-11-28T22:53:03.849262,54,TCP,10.0.2.15,150.171.74.16,64,0x02,0x31f6,52572,443,0x0010,1,1,65535,,,
2025-11-28T22:53:03.852351,60,TCP,150.171.74.16,10.0.2.15,64,0x00,0x4642,443,52572,0x0010,1,2,65535,,,
2025-11-28T22:53:14.185618,54,TCP,10.0.2.15,13.107.213.43,64,0x02,0x0c76,34276,443,0x0010,1,1,65535,,,
2025-11-28T22:53:14.188364,60,TCP,13.107.213.43,10.0.2.15,64,0x00,0x4643,443,34276,0x0010,1,2,65535,,,
2025-11-28T22:53:19.144478,42,ARP,,,,,,,,,,,,08:00:27:1f:b7:23,00:00:00:00:00:00,1
2025-11-28T22:53:19.145935,64,ARP,,,,,,,,,,,,52:55:0a:00:02:02,08:00:27:1f:b7:23,2
2025-11-28T22:53:32.661070,54,TCP,10.0.2.15,13.107.213.43,64,0x02,0xae70,59788,443,0x0010,1,1,65535,,,
2025-11-28T22:53:32.664117,54,TCP,10.0.2.15,150.171.73.16,64,0x02,0x26d1,46122,443,0x0010,1,1,65535,,,
2025-11-28T22:53:32.666947,54,TCP,10.0.2.15,13.107.213.43,64,0x02,0x6582,34264,443,0x0010,1,1,63860,,,
2025-11-28T22:53:32.669753,54,TCP,10.0.2.15,13.107.5.93,64,0x02,0x9766,43656,443,0x0010,1,1,65535,,,
2025-11-28T22:53:32.672167,54,TCP,10.0.2.15,13.107.246.43,64,0x02,0x3276,43018,443,0x0010,1,1,65535,,,
2025-11-28T22:53:32.674885,60,TCP,13.107.213.43,10.0.2.15,64,0x00,0x4644,443,59788,0x0010,1,2,65535,,,
